#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,EL)U-235-L0,SIG
#NUCLEUS    U-235
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 15.3471     9.9412       Lin-Lin
 15.3631     10.0924      Lin-Lin
 15.386      10.3767      Lin-Lin
 15.4273     10.9528      Lin-Lin
 15.4445     11.1507      Lin-Lin
 15.4571     11.262       Lin-Lin
 15.4755     11.3646      Lin-Lin
 15.4926     11.3971      Lin-Lin
 15.5098     11.3764      Lin-Lin
 15.5328     11.2888      Lin-Lin
 15.6359     10.6997      Lin-Lin
 15.7162     10.3343      Lin-Lin
 15.8194     9.87867      Lin-Lin
 15.8675     9.61273      Lin-Lin
 15.9349     9.16541      Lin-Lin
 15.9554     9.06444      Lin-Lin
 15.9682     9.03736      Lin-Lin
 15.981      9.05362      Lin-Lin
 15.9938     9.12689      Lin-Lin
 16.0035     9.22661      Lin-Lin
 16.0131     9.36882      Lin-Lin
 16.0195     9.48811      Lin-Lin
 16.0323     9.78453      Lin-Lin
 16.0458     10.1704      Lin-Lin
 16.0669     10.8795      Lin-Lin
 16.0893     11.6456      Lin-Lin
 16.1006     11.9835      Lin-Lin
 16.1131     12.2958      Lin-Lin
 16.1259     12.5295      Lin-Lin
 16.1387     12.6682      Lin-Lin
 16.1515     12.7144      Lin-Lin
 16.1643     12.6794      Lin-Lin
 16.1772     12.5795      Lin-Lin
 16.1964     12.3493      Lin-Lin
 16.247      11.6336      Lin-Lin
 16.2753     11.3007      Lin-Lin
 16.3081     10.994       Lin-Lin
 16.348      10.6987      Lin-Lin
 16.4369     10.1619      Lin-Lin
 16.4983     9.84075      Lin-Lin
 16.5289     9.73812      Lin-Lin
 16.5443     9.7185       Lin-Lin
 16.5654     9.7398       Lin-Lin
 16.5826     9.80579      Lin-Lin
 16.601      9.92644      Lin-Lin
 16.624      10.1414      Lin-Lin
 16.6754     10.7262      Lin-Lin
 16.7007     10.964       Lin-Lin
 16.7191     11.0859      Lin-Lin
 16.7421     11.1717      Lin-Lin
 16.7651     11.1911      Lin-Lin
 16.7958     11.1431      Lin-Lin
 16.9338     10.686       Lin-Lin
 17.0418     10.4072      Lin-Lin
 17.2353     10.0217      Lin-Lin
 17.5161     9.48684      Lin-Lin
 17.6376     9.19799      Lin-Lin
 17.7134     8.96812      Lin-Lin
 17.7869     8.68918      Lin-Lin
 17.8602     8.37612      Lin-Lin
 17.8877     8.28896      Lin-Lin
 17.9061     8.2603       Lin-Lin
 17.9152     8.25875      Lin-Lin
 17.9336     8.2878       Lin-Lin
 17.9537     8.37787      Lin-Lin
 17.9744     8.53878      Lin-Lin
 17.9904     8.70982      Lin-Lin
 18.0196     9.098        Lin-Lin
 18.0546     9.59647      Lin-Lin
 18.0766     9.86737      Lin-Lin
 18.0961     10.0524      Lin-Lin
 18.1142     10.1691      Lin-Lin
 18.1338     10.236       Lin-Lin
 18.1466     10.2493      Lin-Lin
 18.1736     10.2142      Lin-Lin
 18.2118     10.0693      Lin-Lin
 18.3339     9.45696      Lin-Lin
 18.4178     9.09128      Lin-Lin
 18.5948     8.36849      Lin-Lin
 18.6772     7.99923      Lin-Lin
 18.7484     7.64034      Lin-Lin
 18.784      7.44304      Lin-Lin
 18.9061     6.72255      Lin-Lin
 18.9621     6.44215      Lin-Lin
 19.008      6.2486       Lin-Lin
 19.0247     6.20132      Lin-Lin
 19.0366     6.18749      Lin-Lin
 19.0474     6.19826      Lin-Lin
 19.0593     6.24832      Lin-Lin
 19.0683     6.32219      Lin-Lin
 19.0772     6.43718      Lin-Lin
 19.0861     6.60404      Lin-Lin
 19.0921     6.75017      Lin-Lin
 19.0975     6.90881      Lin-Lin
 19.1046     7.16527      Lin-Lin
 19.1097     7.38943      Lin-Lin
 19.1149     7.6486       Lin-Lin
 19.1201     7.94614      Lin-Lin
 19.1252     8.28549      Lin-Lin
 19.131      8.71583      Lin-Lin
 19.1367     9.20687      Lin-Lin
 19.1425     9.76324      Lin-Lin
 19.1482     10.3893      Lin-Lin
 19.154      11.0892      Lin-Lin
 19.1597     11.8664      Lin-Lin
 19.1655     12.7237      Lin-Lin
 19.1712     13.6631      Lin-Lin
 19.177      14.6858      Lin-Lin
 19.1827     15.7916      Lin-Lin
 19.1885     16.9792      Lin-Lin
 19.1942     18.2457      Lin-Lin
 19.2028     20.2838      Lin-Lin
 19.2114     22.4686      Lin-Lin
 19.2218     25.2422      Lin-Lin
 19.2485     32.6913      Lin-Lin
 19.2586     35.3758      Lin-Lin
 19.2672     37.5235      Lin-Lin
 19.2758     39.4754      Lin-Lin
 19.2852     41.3261      Lin-Lin
