#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 3.23658     10.8261      Lin-Lin
 3.2445      10.0863      Lin-Lin
 3.25243     9.42301      Lin-Lin
 3.25837     8.97617      Lin-Lin
 3.26432     8.57157      Lin-Lin
 3.27026     8.20739      Lin-Lin
 3.2762      7.88143      Lin-Lin
 3.28413     7.50203      Lin-Lin
 3.29205     7.18032      Lin-Lin
 3.29998     6.91066      Lin-Lin
 3.3079      6.68791      Lin-Lin
 3.31583     6.50758      Lin-Lin
 3.32375     6.36583      Lin-Lin
 3.33168     6.25955      Lin-Lin
 3.3396      6.18625      Lin-Lin
 3.34753     6.14408      Lin-Lin
 3.35466     6.13169      Lin-Lin
 3.36259     6.14567      Lin-Lin
 3.37051     6.1887       Lin-Lin
 3.37844     6.26114      Lin-Lin
 3.38636     6.36398      Lin-Lin
 3.39429     6.49877      Lin-Lin
 3.40221     6.66782      Lin-Lin
 3.41014     6.87417      Lin-Lin
 3.41806     7.12181      Lin-Lin
 3.42711     7.46157      Lin-Lin
 3.43314     7.72635      Lin-Lin
 3.43917     8.0258       Lin-Lin
 3.44459     8.32778      Lin-Lin
 3.4518      8.78425      Lin-Lin
 3.459       9.31278      Lin-Lin
 3.4638      9.71122      Lin-Lin
 3.46861     10.1516      Lin-Lin
 3.47341     10.6389      Lin-Lin
 3.47821     11.1789      Lin-Lin
 3.48302     11.7783      Lin-Lin
 3.48782     12.4447      Lin-Lin
 3.49262     13.1867      Lin-Lin
 3.49743     14.014       Lin-Lin
 3.50223     14.9377      Lin-Lin
 3.50703     15.9698      Lin-Lin
 3.51184     17.1237      Lin-Lin
 3.51544     18.0776      Lin-Lin
 3.51904     19.1143      Lin-Lin
 3.52264     20.2401      Lin-Lin
 3.52625     21.4613      Lin-Lin
 3.52985     22.7838      Lin-Lin
 3.53345     24.2133      Lin-Lin
 3.53705     25.7544      Lin-Lin
 3.54066     27.4106      Lin-Lin
 3.54546     29.8009      Lin-Lin
 3.55026     32.3982      Lin-Lin
 3.55507     35.1934      Lin-Lin
 3.55987     38.1674      Lin-Lin
 3.56708     42.8942      Lin-Lin
 3.58004     51.7026      Lin-Lin
 3.58677     56.0444      Lin-Lin
 3.59253     59.4105      Lin-Lin
 3.59734     61.8481      Lin-Lin
 3.60192     63.7822      Lin-Lin
 3.60629     65.2082      Lin-Lin
 3.61035     66.1286      Lin-Lin
 3.61439     66.6328      Lin-Lin
 3.61751     66.7327      Lin-Lin
 3.62111     66.5307      Lin-Lin
 3.62471     65.9933      Lin-Lin
 3.62832     65.1324      Lin-Lin
 3.63192     63.9662      Lin-Lin
 3.6366      62.0347      Lin-Lin
 3.64117     59.7596      Lin-Lin
 3.64573     57.1671      Lin-Lin
 3.65257     52.8475      Lin-Lin
 3.67146     40.0902      Lin-Lin
 3.67675     36.7016      Lin-Lin
 3.68205     33.5088      Lin-Lin
 3.68734     30.5444      Lin-Lin
 3.69138     28.4468      Lin-Lin
 3.69556     26.4301      Lin-Lin
 3.69973     24.5681      Lin-Lin
 3.70391     22.8563      Lin-Lin
 3.70809     21.288       Lin-Lin
 3.71227     19.8546      Lin-Lin
 3.71611     18.647       Lin-Lin
 3.72029     17.4462      Lin-Lin
 3.72385     16.5062      Lin-Lin
 3.72842     15.4058      Lin-Lin
 3.7326      14.4921      Lin-Lin
 3.73678     13.6581      Lin-Lin
 3.74137     12.8234      Lin-Lin
 3.74597     12.0661      Lin-Lin
 3.74903     11.5999      Lin-Lin
 3.7546      10.8232      Lin-Lin
 3.76017     10.128       Lin-Lin
 3.76575     9.50376      Lin-Lin
 3.77132     8.94176      Lin-Lin
 3.77689     8.43443      Lin-Lin
 3.78246     7.97535      Lin-Lin
 3.78803     7.55898      Lin-Lin
 3.7936      7.18054      Lin-Lin
 3.79917     6.83588      Lin-Lin
