#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1.906E+06   3.16684      Lin-Lin
 1.908E+06   3.11884      Lin-Lin
 1.91E+06    3.03398      Lin-Lin
 1.912E+06   2.92539      Lin-Lin
 1.917E+06   2.62846      Lin-Lin
 1.919E+06   2.51871      Lin-Lin
 1.92E+06    2.46636      Lin-Lin
 1.922E+06   2.37207      Lin-Lin
 1.924E+06   2.28856      Lin-Lin
 1.926E+06   2.21514      Lin-Lin
 1.928E+06   2.1508       Lin-Lin
 1.93E+06    2.09446      Lin-Lin
 1.933E+06   2.02322      Lin-Lin
 1.936E+06   1.96325      Lin-Lin
 1.94E+06    1.89906      Lin-Lin
 1.945E+06   1.83677      Lin-Lin
 1.95E+06    1.78808      Lin-Lin
 1.955E+06   1.74946      Lin-Lin
 1.96E+06    1.71794      Lin-Lin
 1.965E+06   1.69166      Lin-Lin
 1.975E+06   1.6499       Lin-Lin
 1.985E+06   1.61761      Lin-Lin
 2E+06       1.57963      Lin-Lin
 2.02E+06    1.53978      Lin-Lin
 2.05439E+06 1.48472      Lin-Lin
 2.12E+06    1.38649      Lin-Lin
 2.15E+06    1.33468      Lin-Lin
 2.16E+06    1.31604      Lin-Lin
 2.18E+06    1.27257      Lin-Lin
 2.2E+06     1.21978      Lin-Lin
 2.21E+06    1.18852      Lin-Lin
 2.22E+06    1.153        Lin-Lin
 2.23E+06    1.11226      Lin-Lin
 2.24E+06    1.06511      Lin-Lin
 2.25E+06    1.01013      Lin-Lin
 2.26E+06    0.945689     Lin-Lin
 2.27E+06    0.87002      Lin-Lin
 2.28E+06    0.7815       Lin-Lin
 2.29E+06    0.679205     Lin-Lin
 2.3E+06     0.563937     Lin-Lin
 2.32E+06    0.315849     Lin-Lin
 2.33E+06    0.206898     Lin-Lin
 2.335E+06   0.163709     Lin-Lin
 2.34E+06    0.131016     Lin-Lin
 2.345E+06   0.110502     Lin-Lin
 2.35E+06    0.103172     Lin-Lin
 2.355E+06   0.109184     Lin-Lin
 2.36E+06    0.127833     Lin-Lin
 2.365E+06   0.15766      Lin-Lin
 2.37E+06    0.196698     Lin-Lin
 2.38E+06    0.293322     Lin-Lin
 2.3925E+06  0.427        Lin-Lin
 2.4E+06     0.506003     Lin-Lin
 2.41E+06    0.602111     Lin-Lin
 2.42E+06    0.685988     Lin-Lin
 2.43E+06    0.757279     Lin-Lin
 2.44E+06    0.816956     Lin-Lin
 2.45E+06    0.866503     Lin-Lin
 2.46E+06    0.907476     Lin-Lin
 2.47E+06    0.941312     Lin-Lin
 2.48E+06    0.969252     Lin-Lin
 2.49E+06    0.992339     Lin-Lin
 2.5E+06     1.01143      Lin-Lin
 2.515E+06   1.03376      Lin-Lin
 2.52E+06    1.04028      Lin-Lin
 2.54E+06    1.05998      Lin-Lin
 2.56E+06    1.07331      Lin-Lin
 2.59E+06    1.08529      Lin-Lin
 2.62E+06    1.09111      Lin-Lin
 2.66E+06    1.09343      Lin-Lin
 2.76E+06    1.09103      Lin-Lin
 2.82E+06    1.09446      Lin-Lin
 2.85E+06    1.10186      Lin-Lin
 2.86E+06    1.10541      Lin-Lin
