#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,F),SIG
#NUCLEUS    U-235
#MF         3
#MT         18
#E,eV        Sig,b        Interpolation
 3.90947     2.72078      Lin-Lin
 3.92618     2.67505      Lin-Lin
 3.94011     2.65067      Lin-Lin
 3.95682     2.63363      Lin-Lin
 3.9811      2.62587      Lin-Lin
 4.01614     2.63715      Lin-Lin
 4.05858     2.66987      Lin-Lin
 4.17391     2.79092      Lin-Lin
 4.32258     2.95662      Lin-Lin
 4.38356     3.03313      Lin-Lin
 4.44541     3.12617      Lin-Lin
 4.49245     3.21578      Lin-Lin
 4.52403     3.29062      Lin-Lin
 4.55583     3.38371      Lin-Lin
 4.57979     3.47042      Lin-Lin
 4.60398     3.57837      Lin-Lin
 4.6201      3.66584      Lin-Lin
 4.63623     3.77001      Lin-Lin
 4.64917     3.86941      Lin-Lin
 4.66212     3.98725      Lin-Lin
 4.67507     4.12943      Lin-Lin
 4.68478     4.2572       Lin-Lin
 4.69363     4.39445      Lin-Lin
 4.70206     4.54882      Lin-Lin
 4.71049     4.73337      Lin-Lin
 4.71611     4.87784      Lin-Lin
 4.72173     5.04383      Lin-Lin
 4.72736     5.23617      Lin-Lin
 4.73298     5.46091      Lin-Lin
 4.73815     5.70266      Lin-Lin
 4.74332     5.9851       Lin-Lin
 4.74719     6.22853      Lin-Lin
 4.75107     6.5033       Lin-Lin
 4.75512     6.82801      Lin-Lin
 4.7595      7.22938      Lin-Lin
 4.76389     7.6888       Lin-Lin
 4.7676      8.12777      Lin-Lin
 4.77097     8.57013      Lin-Lin
 4.77434     9.05627      Lin-Lin
 4.77771     9.58816      Lin-Lin
 4.78109     10.1671      Lin-Lin
 4.78558     11.013       Lin-Lin
 4.79008     11.9414      Lin-Lin
 4.79458     12.9465      Lin-Lin
 4.79907     14.0178      Lin-Lin
 4.80806     16.2915      Lin-Lin
 4.81706     18.5772      Lin-Lin
 4.82155     19.6481      Lin-Lin
 4.82605     20.6254      Lin-Lin
 4.83055     21.4748      Lin-Lin
 4.83504     22.1643      Lin-Lin
 4.83853     22.5709      Lin-Lin
 4.84224     22.8683      Lin-Lin
 4.84561     23.01        Lin-Lin
 4.84781     23.0342      Lin-Lin
 4.85134     22.9591      Lin-Lin
 4.85483     22.7486      Lin-Lin
 4.8582      22.4198      Lin-Lin
 4.86157     21.9747      Lin-Lin
 4.86494     21.4224      Lin-Lin
 4.86832     20.7743      Lin-Lin
 4.87281     19.7838      Lin-Lin
 4.87731     18.6803      Lin-Lin
 4.88405     16.8918      Lin-Lin
 4.89495     13.9317      Lin-Lin
 4.89975     12.6911      Lin-Lin
 4.9049      11.4471      Lin-Lin
 4.90845     10.6529      Lin-Lin
 4.912       9.91558      Lin-Lin
 4.91555     9.23758      Lin-Lin
 4.91856     8.70863      Lin-Lin
 4.92158     8.2229       Lin-Lin
 4.9246      7.77946      Lin-Lin
 4.92761     7.37682      Lin-Lin
 4.93063     7.01311      Lin-Lin
 4.93364     6.68615      Lin-Lin
 4.93666     6.39356      Lin-Lin
 4.93968     6.13284      Lin-Lin
 4.94322     5.86345      Lin-Lin
 4.94677     5.63054      Lin-Lin
 4.95032     5.43014      Lin-Lin
 4.95387     5.2585       Lin-Lin
 4.95742     5.11216      Lin-Lin
 4.96097     4.98797      Lin-Lin
 4.96629     4.83705      Lin-Lin
 4.9709      4.735        Lin-Lin
 4.97658     4.63916      Lin-Lin
 4.98226     4.56986      Lin-Lin
 4.98793     4.5218       Lin-Lin
 4.99432     4.48803      Lin-Lin
 5.00142     4.47059      Lin-Lin
 5.00497     4.46843      Lin-Lin
 5.01561     4.48314      Lin-Lin
 5.02626     4.52356      Lin-Lin
 5.04045     4.60858      Lin-Lin
 5.05606     4.73547      Lin-Lin
 5.07309     4.908        Lin-Lin
 5.09013     5.11319      Lin-Lin
 5.10716     5.35016      Lin-Lin
 5.1247      5.62782      Lin-Lin
 5.14274     5.95059      Lin-Lin
 5.16078     6.31315      Lin-Lin
 5.17883     6.71801      Lin-Lin
 5.197       7.17112      Lin-Lin
 5.21529     7.67602      Lin-Lin
 5.23359     8.23186      Lin-Lin
 5.25189     8.84004      Lin-Lin
 5.27296     9.60525      Lin-Lin
 5.28487     10.0683      Lin-Lin
 5.30871     11.0564      Lin-Lin
 5.33        12.0035      Lin-Lin
 5.35838     13.3524      Lin-Lin
 5.38705     14.8048      Lin-Lin
 5.41799     16.3725      Lin-Lin
 5.43219     16.9907      Lin-Lin
 5.44493     17.4231      Lin-Lin
 5.45622     17.6791      Lin-Lin
 5.46806     17.8088      Lin-Lin
 5.47334     17.8235      Lin-Lin
 5.4871      17.7607      Lin-Lin
 5.5152      17.4078      Lin-Lin
 5.54387     17.0787      Lin-Lin
 5.59751     16.6082      Lin-Lin
 5.638       16.1567      Lin-Lin
 5.69278     15.5106      Lin-Lin
 5.72017     15.242       Lin-Lin
 5.74755     15.0425      Lin-Lin
 5.77083     14.9421      Lin-Lin
 5.79411     14.9174      Lin-Lin
 5.82013     14.9939      Lin-Lin
 5.83964     15.1341      Lin-Lin
 5.85984     15.3653      Lin-Lin
 5.88038     15.7031      Lin-Lin
 5.90092     16.1614      Lin-Lin
 5.91461     16.5442      Lin-Lin
 5.92831     16.9974      Lin-Lin
 5.942       17.5301      Lin-Lin
 5.95569     18.1527      Lin-Lin
 5.96939     18.8772      Lin-Lin
 5.98308     19.7176      Lin-Lin
 5.99678     20.6895      Lin-Lin
 6.01047     21.8106      Lin-Lin
 6.02416     23.0995      Lin-Lin
 6.03443     24.1877      Lin-Lin
 6.0447      25.3886      Lin-Lin
 6.05497     26.7088      Lin-Lin
 6.06524     28.1531      Lin-Lin
 6.0762      29.8324      Lin-Lin
 6.08715     31.6519      Lin-Lin
 6.10359     34.6192      Lin-Lin
 6.12276     38.3455      Lin-Lin
 6.15014     43.7282      Lin-Lin
 6.16384     46.192       Lin-Lin
 6.17178     47.4823      Lin-Lin
 6.18424     49.2395      Lin-Lin
 6.1967      50.6203      Lin-Lin
 6.20834     51.5547      Lin-Lin
 6.21998     52.1782      Lin-Lin
 6.25079     53.1877      Lin-Lin
 6.26106     53.8266      Lin-Lin
 6.26876     54.6438      Lin-Lin
 6.2739      55.423       Lin-Lin
 6.27904     56.4417      Lin-Lin
 6.28503     57.9976      Lin-Lin
 6.29016     59.7039      Lin-Lin
 6.2953      61.8081      Lin-Lin
 6.30043     64.3584      Lin-Lin
 6.30557     67.3976      Lin-Lin
 6.31062     70.895       Lin-Lin
 6.31549     74.7705      Lin-Lin
 6.32037     79.135       Lin-Lin
 6.32525     83.9704      Lin-Lin
 6.33176     91.076       Lin-Lin
 6.33843     98.9861      Lin-Lin
 6.35484     119.181      Lin-Lin
 6.36097     126.093      Lin-Lin
 6.36598     131.077      Lin-Lin
 6.37098     135.26       Lin-Lin
 6.37549     138.193      Lin-Lin
 6.37999     140.221      Lin-Lin
 6.38375     141.157      Lin-Lin
 6.38688     141.385      Lin-Lin
 6.39086     140.929      Lin-Lin
 6.39449     139.78       Lin-Lin
 6.39902     137.38       Lin-Lin
 6.40315     134.298      Lin-Lin
 6.40803     129.639      Lin-Lin
 6.41254     124.472      Lin-Lin
 6.41704     118.603      Lin-Lin
 6.42205     111.431      Lin-Lin
 6.42956     99.8265      Lin-Lin
 6.44182     80.295       Lin-Lin
 6.44815     70.6299      Lin-Lin
 6.45327     63.2769      Lin-Lin
 6.45798     56.9581      Lin-Lin
 6.46152     52.535       Lin-Lin
 6.46505     48.3972      Lin-Lin
 6.46859     44.5507      Lin-Lin
 6.47162     41.4858      Lin-Lin
 6.47465     38.6325      Lin-Lin
 6.47768     35.9861      Lin-Lin
 6.48071     33.5397      Lin-Lin
 6.48374     31.2851      Lin-Lin
 6.48677     29.2131      Lin-Lin
 6.4898      27.3134      Lin-Lin
 6.49283     25.5755      Lin-Lin
 6.4962      23.8208      Lin-Lin
 6.49957     22.2372      Lin-Lin
 6.50294     20.8099      Lin-Lin
 6.5063      19.5246      Lin-Lin
 6.50967     18.3675      Lin-Lin
 6.51304     17.326       Lin-Lin
 6.5164      16.388       Lin-Lin
 6.51977     15.5426      Lin-Lin
 6.52381     14.6361      Lin-Lin
 6.52785     13.8329      Lin-Lin
 6.53189     13.1193      Lin-Lin
 6.53593     12.4833      Lin-Lin
 6.53998     11.9146      Lin-Lin
 6.54402     11.4041      Lin-Lin
 6.5494      10.8012      Lin-Lin
 6.55479     10.2731      Lin-Lin
 6.56018     9.80768      Lin-Lin
 6.56624     9.34661      Lin-Lin
 6.57297     8.89883      Lin-Lin
 6.57971     8.50728      Lin-Lin
 6.58644     8.16248      Lin-Lin
 6.59318     7.85704      Lin-Lin
 6.60328     7.46017      Lin-Lin
 6.61338     7.12379      Lin-Lin
 6.6218      6.88163      Lin-Lin
 6.6319      6.62955      Lin-Lin
 6.642       6.41339      Lin-Lin
 6.6521      6.22817      Lin-Lin
 6.6622      6.07007      Lin-Lin
 6.67736     5.87749      Lin-Lin
 6.69251     5.73229      Lin-Lin
 6.70833     5.62633      Lin-Lin
 6.7245      5.56349      Lin-Lin
 6.74066     5.54577      Lin-Lin
 6.7548      5.5683       Lin-Lin
 6.76894     5.62865      Lin-Lin
 6.78309     5.73052      Lin-Lin
 6.79723     5.87927      Lin-Lin
 6.80666     6.00807      Lin-Lin
 6.81609     6.1638       Lin-Lin
 6.82619     6.36452      Lin-Lin
 6.83629     6.60548      Lin-Lin
 6.84639     6.89331      Lin-Lin
 6.85649     7.23634      Lin-Lin
 6.86323     7.50082      Lin-Lin
 6.86996     7.79834      Lin-Lin
 6.8767      8.13346      Lin-Lin
 6.88343     8.51164      Lin-Lin
 6.89016     8.93947      Lin-Lin
 6.8969      9.42487      Lin-Lin
 6.90363     9.97751      Lin-Lin
 6.90868     10.4431      Lin-Lin
 6.91373     10.959       Lin-Lin
 6.91879     11.5321      Lin-Lin
 6.92384     12.1703      Lin-Lin
 6.92882     12.8729      Lin-Lin
 6.9338      13.6583      Lin-Lin
 6.93879     14.5381      Lin-Lin
 6.94377     15.5259      Lin-Lin
 6.94781     16.4163      Lin-Lin
 6.95239     17.5345      Lin-Lin
 6.95724     18.8597      Lin-Lin
 6.96209     20.3481      Lin-Lin
 6.96532     21.4404      Lin-Lin
 6.96855     22.6195      Lin-Lin
 6.97179     23.8915      Lin-Lin
 6.97502     25.2622      Lin-Lin
 6.97838     26.8011      Lin-Lin
